Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,GlsP90,AssisP90,G+AP90,G-PBP90,G+A-PBP90,xGP90,xAGP90,xG+xAGP90,npxGP90,npxG+xAGP90
706,Lucas Veríssimo,br BRA,ZG,Corinthians,27,1995,15,15,1.304,14.5,1,2,3,1,0,0,4,1,0.7,0.7,0.6,1.3,4,32,3,0.07,0.14,0.21,0.07,0.21,0.05,0.04,0.09,0.05,0.09
707,Bruno Viana,br BRA,ZG,Coritiba,27,1995,10,9,811,9.0,0,0,0,0,0,0,4,0,0.3,0.3,0.0,0.3,4,26,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
708,Marcos Victor,br BRA,ZG,Bahia,21,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
709,Paulo Victor,br BRA,ZG,Vasco da Gama,21,2001,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
710,Arturo Vidal,cl CHI,LT,Ath Paranaense,35,1987,7,6,380,4.2,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,1,14,18,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10
711,Arturo Vidal,cl CHI,LT.ZG,Flamengo,35,1987,6,2,252,2.8,0,0,0,0,0,0,2,0,0.8,0.8,0.1,0.9,2,17,12,0.00,0.00,0.00,0.00,0.00,0.27,0.04,0.31,0.27,0.31
712,Felipe Vieira,,ZG,Fluminense,,,7,1,203,2.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,3,8,3,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10
713,Luan Vieira,br BRA,AT.LT,Grêmio,29,1993,5,0,50,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
714,Gustavo Vilar,br BRA,ZG,Coritiba,22,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
715,Pedro Vilhena,br BRA,AT,São Paulo,20,2002,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
716,Mathías Villasanti,py PAR,LT,Grêmio,26,1997,30,30,2.645,29.4,4,6,10,4,0,0,8,1,1.6,1.6,3.5,5.1,32,150,32,0.14,0.20,0.34,0.14,0.34,0.05,0.12,0.17,0.05,0.17
717,Marcos Vinicios Sorriso,br BRA,AT.ZG,Red Bull Bragantino,21,2001,23,8,938,10.4,2,0,2,2,0,0,2,0,3.1,3.1,1.2,4.3,40,34,128,0.19,0.00,0.19,0.19,0.19,0.29,0.12,0.41,0.29,0.41
718,Vinicius,br BRA,LT,Santos,23,1999,3,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
719,Vinícius,br BRA,AT,Goiás,29,1993,23,13,1.172,13.0,0,2,2,0,0,0,1,0,1.6,1.6,1.3,2.9,39,53,123,0.00,0.15,0.15,0.00,0.15,0.12,0.10,0.23,0.12,0.23
720,Vinícius,br BRA,AT,Grêmio,31,1991,14,8,654,7.3,1,0,1,1,0,0,2,0,1.9,1.9,1.0,2.9,11,44,39,0.14,0.00,0.14,0.14,0.14,0.26,0.13,0.39,0.26,0.39
721,Marcos Vinicius,br BRA,ZG.LT,Coritiba,25,1997,5,1,173,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,3,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15
722,Mateus Vital,br BRA,LT,Cruzeiro,24,1998,32,23,1.883,20.9,0,2,2,0,0,0,0,0,1.9,1.9,2.2,4.1,55,126,126,0.00,0.10,0.10,0.00,0.10,0.09,0.10,0.19,0.09,0.19
723,Vitão,br BRA,ZG,Internacional,22,2000,26,25,2.041,22.7,0,0,0,0,0,0,5,1,0.7,0.7,0.5,1.2,13,60,4,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.06,0.03,0.06
724,Vitão,br BRA,ZG,Cuiabá,22,2000,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
725,Vitinho,br BRA,AT.LT,Red Bull Bragantino,23,1999,33,23,2.049,22.8,2,2,4,2,0,0,8,0,3.8,3.8,3.0,6.7,76,62,244,0.09,0.09,0.18,0.09,0.18,0.17,0.13,0.30,0.17,0.30
726,José Vitor,br BRA,ZG,Vasco da Gama,20,2002,4,1,110,1.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
727,Paulo Vitor,br BRA,LT.ZG,Cruzeiro,23,1999,8,0,125,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,7,19,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10
728,Paulo Vitor,br BRA,LT,Atlético Mineiro,18,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
729,Rayan Vitor,br BRA,AT.LT,Vasco da Gama,16,2006,6,3,265,2.9,1,0,1,1,0,0,2,0,0.8,0.8,0.8,1.6,5,5,18,0.34,0.00,0.34,0.34,0.34,0.26,0.28,0.54,0.26,0.54
730,Vladimir,br BRA,G,Santos,33,1989,3,2,209,2.3,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
731,Walter,br BRA,G,Cuiabá,35,1987,35,35,3.150,35.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
732,Talles Wander,br BRA,AT.LT,São Paulo,19,2003,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20
733,Wanderson,br BRA,ZG,América (MG),31,1991,7,5,500,5.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,10,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02
734,Wanderson,br BRA,AT.LT,Internacional,28,1994,32,26,2.336,26.0,7,3,10,7,0,0,3,0,4.1,4.1,2.6,6.7,97,71,169,0.27,0.12,0.39,0.27,0.39,0.16,0.10,0.26,0.16,0.26
735,Deivid Washington,br BRA,AT,Santos,17,2005,9,5,427,4.7,2,0,2,2,0,0,2,0,1.7,1.7,0.1,1.8,11,5,13,0.42,0.00,0.42,0.42,0.42,0.36,0.03,0.39,0.36,0.39
736,Welington,br BRA,ZG,São Paulo,21,2001,16,11,936,10.4,0,0,0,0,0,0,2,0,0.3,0.3,1.5,1.8,36,44,57,0.00,0.00,0.00,0.00,0.00,0.03,0.14,0.17,0.03,0.17
737,José Welison,br BRA,LT,Fortaleza,27,1995,26,20,1.671,18.6,1,2,3,1,0,0,9,0,1.2,1.2,1.1,2.3,19,105,31,0.05,0.11,0.16,0.05,0.16,0.06,0.06,0.12,0.06,0.12
738,João Wellington,br BRA,LT,Cruzeiro,19,2004,7,3,366,4.1,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,1,11,13,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14
739,Wesley,br BRA,AT.LT,Cruzeiro,23,1999,29,22,1.775,19.7,4,1,5,4,0,0,6,0,4.7,4.7,1.5,6.3,65,63,186,0.20,0.05,0.25,0.20,0.25,0.24,0.08,0.32,0.24,0.32
740,Wesley,br BRA,ZG,Flamengo,19,2003,35,27,2.514,27.9,1,1,2,1,0,0,3,0,1.1,1.1,2.9,4.0,49,109,291,0.04,0.04,0.07,0.04,0.07,0.04,0.11,0.14,0.04,0.14
741,Wesley,br BRA,ZG,Grêmio,19,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
742,Wéverton,br BRA,G,Palmeiras,35,1987,35,35,3.150,35.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
743,William,br BRA,ZG,Cruzeiro,27,1995,33,31,2.647,29.4,0,2,2,0,0,0,6,0,1.2,1.2,4.8,6.1,70,159,157,0.00,0.07,0.07,0.00,0.07,0.04,0.16,0.21,0.04,0.21
744,Willian,br BRA,AT.LT,Ath Paranaense,36,1986,18,6,573,6.4,4,0,4,4,0,0,0,0,1.9,1.9,0.4,2.3,5,10,41,0.63,0.00,0.63,0.63,0.63,0.31,0.06,0.36,0.31,0.36
745,Willian,br BRA,LT,Goiás,29,1993,31,28,2.193,24.4,0,0,0,0,0,0,7,0,0.9,0.9,0.6,1.5,6,68,9,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
746,Xavier,br BRA,ZG,Goiás,22,2000,1,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
747,Samuel Xavier,br BRA,ZG,Fluminense,32,1990,25,25,2.108,23.4,1,2,3,1,0,0,7,0,0.9,0.9,2.9,3.8,42,91,62,0.04,0.09,0.13,0.04,0.13,0.04,0.12,0.16,0.04,0.16
748,Yago,br BRA,LT,Bahia,27,1995,25,16,1.363,15.1,0,0,0,0,0,0,6,0,0.4,0.4,0.6,1.0,11,55,32,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07
749,Vinícius Zanocelo,br BRA,LT.AT,Fortaleza,22,2001,6,0,81,0.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,1,4,2,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34,0.34,0.34
750,Bruno Zapelli,ar ARG,LT.AT,Ath Paranaense,20,2002,21,13,1.143,12.7,2,2,4,2,0,0,0,0,2.5,2.5,1.8,4.3,35,72,71,0.16,0.16,0.31,0.16,0.31,0.19,0.14,0.34,0.19,0.34
751,Federico Zaracho,ar ARG,LT.AT,Atlético Mineiro,24,1998,27,22,1.947,21.6,2,1,3,2,0,0,8,0,3.0,3.0,1.7,4.7,16,74,74,0.09,0.05,0.14,0.09,0.14,0.14,0.08,0.22,0.14,0.22
752,Zinho,br BRA,AT.LT,Grêmio,19,2003,7,1,244,2.7,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.8,15,7,24,0.00,0.37,0.37,0.00,0.37,0.08,0.20,0.28,0.08,0.28
