Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,GlsP90,AssisP90,G+AP90,G-PBP90,G+A-PBP90,xGP90,xAGP90,xG+xAGP90,npxGP90,npxG+xAGP90
42,Arthur,br BRA,ZG.AT,Fluminense,18,2004,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,2.44,2.44,0.00,2.44
43,Artur,br BRA,AT,Palmeiras,24,1998,31,22,1.896,21.1,5,2,7,5,0,0,2,0,5.0,5.0,3.4,8.4,85,81,218,0.24,0.09,0.33,0.24,0.33,0.24,0.16,0.40,0.24,0.40
44,Eduard Atuesta,co COL,LT,Palmeiras,25,1997,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,Felipe Augusto,br BRA,AT.LT,Corinthians,18,2004,15,2,322,3.6,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,4,3,15,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09
46,Filipe Augusto,br BRA,LT,Cuiabá,29,1993,27,9,1.065,11.8,0,0,0,0,0,0,6,1,0.3,0.3,0.9,1.1,9,78,16,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09
47,Renato Augusto,br BRA,LT,Corinthians,34,1988,24,16,1.282,14.2,2,4,6,2,0,0,1,0,1.1,1.1,2.1,3.2,38,98,98,0.14,0.28,0.42,0.14,0.42,0.08,0.15,0.22,0.08,0.22
48,Danilo Avelar,br BRA,ZG,América (MG),33,1989,26,24,1.984,22.0,3,1,4,2,1,1,5,1,4.0,3.2,0.7,3.9,11,81,42,0.14,0.05,0.18,0.09,0.14,0.18,0.03,0.21,0.14,0.18
49,Felipe Azevedo,br BRA,AT.LT,América (MG),36,1987,30,25,1.748,19.4,4,1,5,4,0,0,3,1,3.7,3.7,2.0,5.7,31,52,121,0.21,0.05,0.26,0.21,0.26,0.19,0.10,0.29,0.19,0.29
50,Matheus Babi,br BRA,AT,Goiás,25,1997,17,8,881,9.8,4,0,4,4,0,0,5,0,2.6,2.6,0.3,2.8,2,12,39,0.41,0.00,0.41,0.41,0.41,0.26,0.03,0.29,0.26,0.29
51,Matheus Bahia,br BRA,ZG.LT,Bahia,23,1999,12,6,493,5.5,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,15,12,21,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09
52,Fabián Balbuena,py PAR,ZG,Corinthians,31,1991,1,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
53,Robson Bambu,br BRA,ZG,Vasco da Gama,25,1997,18,16,1.280,14.2,0,0,0,0,0,0,6,0,0.5,0.5,0.1,0.6,5,33,13,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
54,Gabriel Baralhas,br BRA,LT,Internacional,24,1998,5,2,236,2.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,13,5,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08
55,Danilo Barbosa,br BRA,LT.ZG,Botafogo (RJ),26,1996,23,10,1.011,11.2,3,0,3,3,0,0,5,0,1.0,1.0,0.1,1.2,14,54,7,0.27,0.00,0.27,0.27,0.27,0.09,0.01,0.10,0.09,0.10
56,Diogo Barbosa,br BRA,ZG,Fluminense,30,1992,19,10,1.117,12.4,1,2,3,1,0,0,1,0,0.3,0.3,1.3,1.6,35,51,68,0.08,0.16,0.24,0.08,0.24,0.02,0.10,0.13,0.02,0.13
57,Diogo Barbosa,br BRA,ZG,Grêmio,30,1992,6,4,386,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,8,17,19,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06
58,Gabriel Barbosa,br BRA,AT,Flamengo,26,1996,26,17,1.540,17.1,5,1,6,1,4,5,7,2,9.5,5.6,1.6,7.1,26,79,112,0.29,0.06,0.35,0.06,0.12,0.56,0.09,0.65,0.33,0.42
59,Lucas Barbosa,br BRA,AT.LT,Santos,21,2001,4,1,103,1.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,4,0,4,0.00,0.00,0.00,0.00,0.00,0.25,0.02,0.27,0.25,0.27
60,Lucas Barbosa,br BRA,LT.AT,Coritiba,21,2001,5,0,102,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,1,4,10,0.00,0.00,0.00,0.00,0.00,0.11,0.16,0.27,0.11,0.27
61,Chrystian Barletta,br BRA,LT,Corinthians,21,2001,3,2,127,1.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,
62,Cauan Barros,br BRA,LT,Vasco da Gama,18,2004,8,3,237,2.6,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.4,0,7,4,0.38,0.00,0.38,0.38,0.38,0.13,0.04,0.17,0.13,0.17
63,Gabriel Barros,br BRA,AT.LT,Internacional,21,2001,5,2,177,2.0,0,1,1,0,0,0,1,0,0.2,0.2,0.5,0.8,4,4,12,0.00,0.51,0.51,0.00,0.51,0.12,0.27,0.38,0.12,0.38
64,Bastos,ao ANG,ZG,Botafogo (RJ),31,1991,4,2,118,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
65,Fellipe Bastos,br BRA,LT,Goiás,32,1990,1,0,36,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66,Diogo Batista,br BRA,ZG.LT,Coritiba,19,2003,11,5,531,5.9,0,1,1,0,0,0,1,0,0.2,0.2,0.6,0.8,8,21,13,0.00,0.17,0.17,0.00,0.17,0.03,0.11,0.14,0.03,0.14
67,Rodrigo Battaglia,ar ARG,LT,Atlético Mineiro,31,1991,22,19,1.728,19.2,0,1,1,0,0,0,6,0,0.9,0.9,0.4,1.3,38,80,27,0.00,0.05,0.05,0.00,0.05,0.05,0.02,0.07,0.05,0.07
68,José Luis Rodríguez Bebanz,uy URU,ZG,Vasco da Gama,25,1997,32,22,1.997,22.2,2,1,3,2,0,0,2,0,2.8,2.8,2.2,5.0,56,99,95,0.09,0.05,0.14,0.09,0.14,0.12,0.10,0.23,0.12,0.23
69,Matheus Belém,br BRA,ZG,São Paulo,19,2003,2,2,169,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,Lucas Belezi,br BRA,ZG,Ath Paranaense,19,2003,1,0,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
71,Ramiro Benetti,br BRA,LT,Cruzeiro,29,1993,6,6,407,4.5,1,1,2,1,0,0,3,0,0.8,0.8,0.6,1.4,4,26,13,0.22,0.22,0.44,0.22,0.44,0.17,0.14,0.31,0.17,0.31
72,Martín Benítez,ar ARG,LT.AT,América (MG),28,1994,20,14,1.120,12.4,3,4,7,3,0,0,4,0,2.6,2.6,4.0,6.5,26,77,56,0.24,0.32,0.56,0.24,0.56,0.21,0.32,0.53,0.21,0.53
73,Bento,br BRA,G,Ath Paranaense,23,1999,33,33,2.970,33.0,0,1,1,0,0,0,3,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01
74,Lucas Beraldo,br BRA,ZG,São Paulo,19,2003,24,24,2.160,24.0,1,0,1,1,0,0,7,0,1.0,1.0,0.6,1.6,16,129,3,0.04,0.00,0.04,0.04,0.04,0.04,0.02,0.07,0.04,0.07
75,Lucas Besozzi,ar ARG,AT.LT,Grêmio,20,2003,12,5,399,4.4,1,1,2,1,0,0,1,0,0.3,0.3,0.4,0.7,30,23,47,0.23,0.23,0.45,0.23,0.45,0.07,0.09,0.16,0.07,0.16
76,Matheus Bianqui,br BRA,LT,Coritiba,25,1998,28,17,1.420,15.8,2,1,3,2,0,0,8,0,1.7,1.7,1.3,3.0,10,41,41,0.13,0.06,0.19,0.13,0.19,0.11,0.08,0.19,0.11,0.19
77,Raul Bicalho,br BRA,ZG,Bahia,23,1999,7,4,321,3.6,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,7,19,2,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
78,Matheus Bidu,br BRA,ZG,Corinthians,23,1999,24,19,1.659,18.4,0,0,0,0,0,0,2,0,0.4,0.4,1.4,1.8,58,88,100,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10
79,Biel,br BRA,AT.LT,Bahia,21,2001,25,15,1.361,15.1,5,1,6,5,0,0,4,0,5.2,5.2,4.4,9.6,51,57,117,0.33,0.07,0.40,0.33,0.40,0.34,0.29,0.64,0.34,0.64
80,Rafael Bilu,br BRA,AT,Cruzeiro,23,1999,4,1,86,1.0,0,0,0,0,0,0,0,0,0.7,0.7,0.8,1.4,5,2,8,0.00,0.00,0.00,0.00,0.00,0.71,0.80,1.51,0.71,1.51
81,Guilherme Biro,br BRA,AT.LT,Corinthians,18,2004,11,7,572,6.4,0,0,0,0,0,0,2,0,0.7,0.7,0.5,1.3,18,18,44,0.00,0.00,0.00,0.00,0.00,0.12,0.08,0.20,0.12,0.20
82,Bitelo,br BRA,LT.AT,Grêmio,23,2000,19,18,1.550,17.2,4,1,5,4,0,0,1,0,3.6,3.6,3.8,7.4,39,92,132,0.23,0.06,0.29,0.23,0.29,0.21,0.22,0.43,0.21,0.43
83,Paulinho Bóia,br BRA,AT,América (MG),24,1998,3,2,136,1.5,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,4,1,12,0.00,0.00,0.00,0.00,0.00,0.01,0.21,0.22,0.01,0.22
84,Thiago Borbas,uy URU,AT,Red Bull Bragantino,20,2002,33,10,1.428,15.9,9,2,11,9,0,0,7,1,9.2,9.2,1.1,10.4,12,25,119,0.57,0.13,0.69,0.57,0.69,0.58,0.07,0.65,0.58,0.65
85,Ângelo Borges,br BRA,AT.LT,Santos,18,2004,12,5,542,6.0,2,0,2,2,0,0,1,0,1.1,1.1,1.0,2.0,26,25,38,0.33,0.00,0.33,0.33,0.33,0.18,0.16,0.33,0.18,0.33
86,Daniel Borges,br BRA,ZG,América (MG),29,1993,14,8,799,8.9,0,1,1,0,0,0,1,1,0.1,0.1,1.5,1.6,19,45,37,0.00,0.11,0.11,0.00,0.11,0.01,0.17,0.18,0.01,0.18
87,Daniel Borges,br BRA,ZG,Botafogo (RJ),29,1993,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
88,Marllon Borges,br BRA,ZG,Cuiabá,30,1992,36,36,3.240,36.0,1,1,2,1,0,0,7,0,1.5,1.5,0.7,2.2,12,88,1,0.03,0.03,0.06,0.03,0.06,0.04,0.02,0.06,0.04,0.06
89,Pedro Borges,br BRA,LT.AT,Fortaleza,25,1997,14,6,566,6.3,0,0,0,0,0,0,2,0,0.5,0.5,0.6,1.0,3,19,12,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.16,0.07,0.16
90,Gabriel Boschilia,br BRA,LT.AT,Coritiba,26,1996,11,3,344,3.8,1,1,2,1,0,0,1,0,1.1,1.1,0.8,1.9,10,18,20,0.26,0.26,0.52,0.26,0.52,0.29,0.21,0.50,0.29,0.50
91,Lucas Braga,br BRA,ZG.AT,Santos,26,1996,27,22,1.991,22.1,0,0,0,0,0,0,5,1,0.4,0.4,0.7,1.1,64,55,89,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
92,David Braz,br BRA,ZG,Fluminense,35,1987,18,10,865,9.6,0,0,0,0,0,0,2,0,0.7,0.7,0.1,0.8,16,31,2,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.08,0.08,0.08
93,Brenno,br BRA,G,Grêmio,23,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
94,Breno,br BRA,LT,Botafogo (RJ),22,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
95,Breno,br BRA,AT,Palmeiras,27,1996,31,14,1.365,15.2,5,3,8,5,0,0,1,0,6.8,6.8,1.1,7.9,44,37,110,0.33,0.20,0.53,0.33,0.53,0.45,0.08,0.52,0.45,0.52
96,Emanuel Brítez,ar ARG,ZG,Fortaleza,30,1992,31,31,2.761,30.7,0,1,1,0,0,0,11,1,1.0,1.0,0.6,1.6,19,86,17,0.00,0.03,0.03,0.00,0.03,0.03,0.02,0.05,0.03,0.05
97,Bruninho,br BRA,AT.LT,Red Bull Bragantino,19,2003,16,9,715,7.9,2,1,3,2,0,0,0,0,2.7,2.7,0.6,3.3,19,36,68,0.25,0.13,0.38,0.25,0.38,0.34,0.07,0.41,0.34,0.41
98,Fabrício Bruno,br BRA,ZG,Flamengo,26,1996,34,34,3.060,34.0,0,1,1,0,0,0,8,0,0.7,0.7,0.5,1.2,32,199,7,0.00,0.03,0.03,0.00,0.03,0.02,0.01,0.04,0.02,0.04
99,Vitor Bueno,br BRA,LT.AT,Ath Paranaense,28,1994,32,25,2.075,23.1,5,5,10,2,3,3,7,0,5.3,3.1,6.9,9.9,74,149,114,0.22,0.22,0.43,0.09,0.30,0.23,0.30,0.53,0.13,0.43
100,Esteban Burgos,ar ARG,ZG,América (MG),31,1992,4,4,294,3.3,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,1,7,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
101,Fabricio Bustos,ar ARG,ZG,Internacional,26,1996,29,28,2.499,27.8,3,3,6,3,0,0,4,0,1.0,1.0,2.9,3.9,39,103,151,0.11,0.11,0.22,0.11,0.22,0.04,0.10,0.14,0.04,0.14
102,Rafael Cabral,br BRA,G,Cruzeiro,32,1990,37,37,3.330,37.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
103,Cacá,br BRA,ZG,Ath Paranaense,23,1999,19,19,1.694,18.8,2,0,2,2,0,0,6,0,1.1,1.1,0.3,1.4,12,39,8,0.11,0.00,0.11,0.11,0.11,0.06,0.02,0.08,0.06,0.08
104,Cadu,br BRA,ZG,Santos,20,2002,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
105,Caetano,br BRA,ZG,Corinthians,23,1999,16,13,1.204,13.4,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,2,35,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
106,Jonathan Cafu,br BRA,AT.LT,Cuiabá,31,1991,32,23,1.708,19.0,0,3,3,0,0,0,5,0,1.5,1.5,1.0,2.5,39,50,169,0.00,0.16,0.16,0.00,0.16,0.08,0.05,0.13,0.08,0.13
107,Júnior Caiçara,br BRA,ZG,Santos,33,1989,5,1,169,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,6,8,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
108,Rodrigo Caio,br BRA,LT.ZG,Flamengo,29,1993,5,0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
109,Caíque,br BRA,G,Grêmio,25,1997,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
110,Calebe,br BRA,LT.AT,Fortaleza,22,2000,29,16,1.479,16.4,2,5,7,2,0,0,2,0,3.0,3.0,4.8,7.8,69,78,127,0.12,0.30,0.43,0.12,0.43,0.18,0.29,0.48,0.18,0.48
111,Jonathan Calleri,ar ARG,AT,São Paulo,29,1993,19,15,1.350,15.0,9,2,11,7,2,2,6,0,8.5,6.9,0.7,7.6,15,22,101,0.60,0.13,0.73,0.47,0.60,0.56,0.04,0.61,0.46,0.50
112,Patric Calmon PK,br BRA,ZG,Cuiabá,28,1994,15,5,520,5.8,0,0,0,0,0,0,3,1,0.2,0.2,0.3,0.4,14,29,30,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07
113,Guilherme Camacho,br BRA,LT,Santos,32,1990,11,4,448,5.0,0,0,0,0,0,0,5,1,0.0,0.0,0.2,0.2,0,20,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
114,Nathan Camargo,br BRA,LT,Red Bull Bragantino,17,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.44,0.00,0.44
115,Gustavo Campanharo,br BRA,LT,Internacional,30,1992,15,8,695,7.7,0,0,0,0,0,0,6,0,0.1,0.1,0.0,0.1,9,33,13,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02
116,Camilo Cándido,uy URU,ZG,Bahia,27,1995,19,15,1.244,13.8,1,2,3,1,0,0,2,1,0.4,0.4,1.3,1.6,18,62,91,0.07,0.14,0.22,0.07,0.22,0.03,0.09,0.12,0.03,0.12
117,Luan Cândido,br BRA,ZG,Red Bull Bragantino,21,2001,22,11,1.082,12.0,1,1,2,1,0,0,3,0,1.8,1.8,1.2,2.9,19,55,42,0.08,0.08,0.17,0.08,0.17,0.15,0.10,0.24,0.15,0.24
118,Germán Cano,ar ARG,AT,Fluminense,34,1988,30,28,2.465,27.4,10,1,11,10,0,1,8,0,10.0,9.2,1.1,10.3,18,25,87,0.37,0.04,0.40,0.37,0.40,0.37,0.04,0.40,0.34,0.38
119,Agustín Canobbio,uy URU,AT.LT,Ath Paranaense,24,1998,29,22,2.116,23.5,3,5,8,3,0,0,10,0,5.5,5.5,3.5,9.0,81,76,223,0.13,0.21,0.34,0.13,0.34,0.23,0.15,0.38,0.23,0.38
120,Víctor Cantillo,co COL,LT,Corinthians,29,1993,6,2,266,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,2,9,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
121,Manuel Capasso,ar ARG,ZG,Vasco da Gama,26,1996,9,6,554,6.2,0,0,0,0,0,0,4,0,0.1,0.1,0.0,0.1,1,15,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
122,Juninho Capixaba,br BRA,ZG,Red Bull Bragantino,25,1997,34,33,2.875,31.9,2,1,3,2,0,0,12,0,2.9,2.9,4.5,7.4,71,231,127,0.06,0.03,0.09,0.06,0.09,0.09,0.14,0.23,0.09,0.23
123,Gabriel Carabajal,ar ARG,LT,Vasco da Gama,31,1991,6,0,122,1.4,0,1,1,0,0,0,0,0,0.2,0.2,0.4,0.6,3,14,11,0.00,0.74,0.74,0.00,0.74,0.13,0.28,0.41,0.13,0.41
124,Felipe Carballo,uy URU,LT,Grêmio,26,1996,22,21,1.540,17.1,1,1,2,1,0,0,3,0,1.5,1.5,1.2,2.7,23,87,45,0.06,0.06,0.12,0.06,0.12,0.09,0.07,0.16,0.09,0.16
125,Johnny Cardoso,us USA,LT,Internacional,21,2001,22,20,1.607,17.9,2,2,4,2,0,0,7,0,1.1,1.1,1.0,2.2,18,70,24,0.11,0.11,0.22,0.11,0.22,0.06,0.06,0.12,0.06,0.12
126,Ed Carlos,br BRA,LT.AT,Santos,21,2001,4,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,3,1,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.17,0.06,0.17
127,João Carlos,br BRA,G,Cuiabá,34,1988,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
128,Ryan Carlos,br BRA,ZG,Bahia,20,2002,9,5,578,6.4,0,1,1,0,0,0,3,0,0.1,0.1,0.5,0.6,21,42,44,0.00,0.16,0.16,0.00,0.16,0.01,0.08,0.09,0.01,0.09
129,Alan Carvalho,cn CHN,LT,Fluminense,33,1989,1,1,45,0.5,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.6,0,0,1,2.00,0.00,2.00,2.00,2.00,1.27,0.00,1.27,1.27,1.27
130,Breno Cascardo,br BRA,LT,América (MG),19,2003,24,13,1.162,12.9,1,0,1,1,0,0,2,0,1.3,1.3,0.5,1.8,28,80,39,0.08,0.00,0.08,0.08,0.08,0.10,0.04,0.14,0.10,0.14
131,Cássio,br BRA,G,Corinthians,35,1987,37,37,3.310,36.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
132,Luciano Castán,br BRA,ZG,Cruzeiro,33,1989,36,36,3.210,35.7,1,0,1,1,0,0,7,0,1.3,1.3,0.3,1.6,23,124,7,0.03,0.00,0.03,0.03,0.03,0.04,0.01,0.04,0.04,0.04
133,Iury de Castilho,br BRA,AT,Cuiabá,27,1995,10,4,398,4.4,0,0,0,0,0,0,1,0,0.6,0.6,0.2,0.8,11,9,26,0.00,0.00,0.00,0.00,0.00,0.13,0.05,0.17,0.13,0.17
134,Matheus Cavichioli,br BRA,G,América (MG),36,1986,15,15,1.348,15.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
135,Juan Cazares,ec ECU,LT.AT,América (MG),30,1992,12,1,283,3.1,0,1,1,0,0,0,0,0,0.3,0.3,1.1,1.3,5,18,23,0.00,0.32,0.32,0.00,0.32,0.09,0.34,0.42,0.09,0.42
136,Brayan Ceballos,co COL,ZG,Fortaleza,21,2001,3,2,206,2.3,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,4,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
137,Pablo Ceppelini,uy URU,LT,Cuiabá,31,1991,21,12,997,11.1,0,3,3,0,0,0,3,0,1.1,1.1,2.2,3.3,23,74,58,0.00,0.27,0.27,0.00,0.27,0.10,0.20,0.30,0.10,0.30
138,Murilo Cerqueira,br BRA,ZG,Palmeiras,25,1997,25,24,2.165,24.1,3,2,5,3,0,0,6,1,1.0,1.0,1.7,2.7,14,81,1,0.12,0.08,0.21,0.12,0.21,0.04,0.07,0.11,0.04,0.11
139,Ricardo Cerqueira,br BRA,LT,Cuiabá,20,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
140,Júlio César,br BRA,ZG,América (MG),19,2003,9,6,595,6.6,0,1,1,0,0,0,1,0,0.2,0.2,0.0,0.3,3,21,1,0.00,0.15,0.15,0.00,0.15,0.03,0.01,0.04,0.03,0.04
141,Reynaldo Cesar Moraes,br BRA,ZG,Cruzeiro,26,1997,2,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
142,Reynaldo Cesar Moraes,br BRA,ZG,Coritiba,26,1997,6,1,245,2.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
143,Kayky Chagas,br BRA,AT.LT,Bahia,19,2003,10,6,410,4.6,2,1,3,2,0,0,2,0,1.5,1.5,0.6,2.1,16,16,33,0.44,0.22,0.66,0.44,0.66,0.32,0.14,0.45,0.32,0.45
144,Jhon Chancellor,ve VEN,ZG,Coritiba,31,1992,4,3,303,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
145,Gabriel Chapecó,br BRA,G,Grêmio,22,2000,31,31,2.790,31.0,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
146,Gabriel Chaves,br BRA,AT.LT,Vasco da Gama,21,2001,37,29,2.612,29.0,8,4,12,8,0,0,6,0,9.1,9.1,5.0,14.1,92,33,204,0.28,0.14,0.41,0.28,0.41,0.31,0.17,0.49,0.31,0.49
147,Jhoanner Chávez,ec ECU,ZG.LT,Bahia,20,2002,10,7,589,6.5,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,12,17,49,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11
148,Chiqueti,br BRA,LT,Ath Paranaense,17,2005,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
149,Christian,br BRA,LT.AT,Ath Paranaense,22,2000,21,14,1.362,15.1,4,0,4,4,0,0,1,0,2.7,2.7,1.4,4.1,23,69,71,0.26,0.00,0.26,0.26,0.26,0.18,0.09,0.27,0.18,0.27
150,Cicinho,bg BUL,ZG,Bahia,34,1988,13,9,753,8.4,0,0,0,0,0,0,4,0,0.4,0.4,0.3,0.8,17,27,36,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09
151,Cipriano,br BRA,ZG,Red Bull Bragantino,20,2002,1,1,75,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
152,Marcelo Cirino,br BRA,AT.LT,Ath Paranaense,31,1992,4,1,102,1.1,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,1,1,6,0.00,0.00,0.00,0.00,0.00,0.33,0.07,0.41,0.33,0.41
153,Léo Cittadini,br BRA,LT,Bahia,28,1994,7,1,139,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,8,8,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
154,Léo Cittadini,br BRA,LT.AT,Ath Paranaense,28,1994,5,3,201,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.9,3,8,7,0.00,0.00,0.00,0.00,0.00,0.07,0.33,0.39,0.07,0.39
155,Mateus Claus,br BRA,G,Bahia,28,1994,1,0,53,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
