Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,GlsP90,AssisP90,G+AP90,G-PBP90,G+A-PBP90,xGP90,xAGP90,xG+xAGP90,npxGP90,npxG+xAGP90
488,Natanael,br BRA,ZG,Coritiba,21,2002,33,29,2.506,27.8,0.00,0.04,0.04,0.00,0.00,0.00,0.29,0.00,0.03,0.03,0.06,0.07,1.55,2.84,4.32,000,004,004,000,004,003,006,008,003,008
489,Nathan,br BRA,ZG,Santos,21,2001,7,7,493,5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.02,0.02,0.11,0.00,2.91,2.55,4.36,000,000,000,000,000,001,010,011,001,011
490,Nathan,br BRA,"LT,AT",Grêmio,26,1996,20,7,683,7.6,0.13,0.13,0.26,0.13,0.00,0.00,0.39,0.00,0.14,0.14,0.14,0.26,1.71,5.13,5.26,013,013,026,013,026,015,015,030,015,030
491,Rafael Navarro,br BRA,AT,Palmeiras,22,2000,3,1,125,1.4,0.71,0.00,0.71,0.71,0.00,0.00,0.71,0.00,0.86,0.86,0.07,0.71,1.43,4.29,5.71,072,000,072,072,072,086,006,092,086,092
492,Kaiky Naves,br BRA,"ZG,AT",Palmeiras,20,2002,10,5,526,5.8,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.02,0.02,0.00,0.00,0.34,2.07,0.00,000,000,000,000,000,002,001,003,002,003
493,Felipe Negrucci,br BRA,LT,São Paulo,18,2004,1,0,15,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,000,000,000,000,000,000,000,000,000,000
494,Emerson Negueba,br BRA,AT,Cuiabá,22,2000,10,5,484,5.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.00,1.67,2.04,9.26,000,000,000,000,000,009,001,010,009,010
495,Neris,br BRA,ZG,Cruzeiro,30,1992,26,24,2.113,23.5,0.00,0.04,0.04,0.00,0.00,0.00,0.34,0.00,0.03,0.03,0.03,0.04,0.89,3.79,0.13,000,004,004,000,004,003,003,006,003,006
496,Rodrigo Nestor,br BRA,"LT,AT",São Paulo,22,2000,25,17,1.451,16.1,0.06,0.12,0.19,0.06,0.00,0.00,0.31,0.06,0.20,0.20,0.29,0.43,2.67,4.04,6.27,006,012,019,006,019,020,029,048,020,048
497,João Neto,br BRA,"LT,ZG",Fluminense,19,2003,3,0,52,0.6,1.67,0.00,1.67,1.67,0.00,0.00,0.00,0.00,0.67,0.67,0.00,0.00,0.00,3.33,20.0,173,000,173,173,173,072,000,072,072,072
498,Gabriel Neves,uy URU,LT,São Paulo,25,1997,20,13,967,10.7,0.09,0.00,0.09,0.09,0.00,0.00,0.56,0.09,0.01,0.01,0.02,0.00,1.03,7.94,2.24,009,000,009,009,009,001,002,003,001,003
499,Newton,br BRA,LT,Botafogo (RJ),22,2000,1,0,8,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,000,000,000,000,000,016,020,036,016,036
500,Nicolas,br BRA,ZG,América (MG),25,1997,11,8,720,8.0,0.13,0.13,0.25,0.13,0.00,0.00,0.13,0.00,0.03,0.03,0.03,0.00,1.88,2.25,3.00,012,012,025,012,025,003,002,005,003,005
501,Nikão,br BRA,"AT,LT",Cruzeiro,30,1992,22,7,798,8.9,0.22,0.34,0.56,0.22,0.00,0.00,0.11,0.00,0.07,0.07,0.27,0.34,1.24,4.83,9.78,023,034,056,023,056,007,027,034,007,034
502,Nino,br BRA,ZG,Fluminense,25,1997,26,26,2.155,23.9,0.08,0.00,0.08,0.08,0.00,0.00,0.21,0.08,0.05,0.05,0.02,0.04,1.76,4.52,0.21,008,000,008,008,008,005,002,007,005,007
503,Freddy Noguera,py PAR,AT,Grêmio,19,2004,1,0,30,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,000,000,000,000,000,000,000,000,000
504,Nonato,br BRA,LT,Santos,24,1998,14,7,661,7.3,0.14,0.00,0.14,0.14,0.00,0.00,0.41,0.00,0.05,0.05,0.03,0.00,1.37,3.29,2.47,014,000,014,014,014,005,003,008,005,008
505,Gabriel Novaes,br BRA,AT,Goiás,23,1999,3,1,95,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.36,0.00,0.00,1.82,1.82,3.64,000,000,000,000,000,040,000,040,040,040
506,Ruan Oliveira Ferreira,br BRA,"LT,AT",Corinthians,22,2000,19,11,883,9.8,0.20,0.10,0.31,0.20,0.00,0.00,0.31,0.00,0.05,0.05,0.12,0.10,2.35,3.06,4.49,020,010,031,020,031,005,013,018,005,018
507,Lucas Oliveira,br BRA,ZG,Cruzeiro,26,1996,16,15,1.310,14.6,0.07,0.00,0.07,0.07,0.00,0.00,0.48,0.14,0.03,0.03,0.01,0.00,0.75,4.59,0.27,007,000,007,007,007,003,001,004,003,004
508,Pedro Oliveira,br BRA,"AT,LT",Goiás,18,2004,4,2,195,2.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.05,0.00,0.91,2.27,4.55,000,000,000,000,000,010,007,017,010,017
509,Cauly Oliveira Souza,br BRA,"LT,AT",Bahia,27,1995,32,30,2.543,28.3,0.14,0.25,0.39,0.14,0.00,0.00,0.14,0.00,0.19,0.19,0.20,0.39,3.96,7.03,6.43,014,025,039,014,039,019,021,040,019,040
510,Luca Orellano,ar ARG,"AT,LT",Vasco da Gama,22,2000,18,6,622,6.9,0.14,0.14,0.29,0.14,0.00,0.00,0.29,0.00,0.16,0.16,0.14,0.29,3.33,5.07,6.81,014,014,029,014,029,016,014,030,016,030
511,Leo Ortiz,br BRA,ZG,Red Bull Bragantino,27,1996,20,19,1.603,17.8,0.11,0.00,0.11,0.11,0.00,0.00,0.17,0.00,0.11,0.11,0.03,0.11,1.57,7.98,0.11,011,000,011,011,011,011,003,014,011,014
512,Otávio,br BRA,LT,Atlético Mineiro,28,1994,27,27,2.307,25.6,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.02,0.02,0.02,0.00,0.47,5.27,0.47,000,000,000,000,000,001,002,003,001,003
513,João Othavio Basso,br BRA,ZG,Santos,26,1997,14,14,1.150,12.8,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.04,0.04,0.02,0.00,0.78,3.36,0.16,000,000,000,000,000,004,001,005,004,005
514,Luis Oyama,br BRA,LT,Goiás,26,1997,9,5,561,6.2,0.16,0.00,0.16,0.16,0.00,0.00,0.16,0.00,0.06,0.06,0.03,0.00,2.10,5.32,2.90,016,000,016,016,016,006,004,010,006,010
515,Pablinho,br BRA,AT,Cuiabá,19,2003,2,0,34,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,5.00,000,000,000,000,000,000,000,000,000,000
516,Pablo,br BRA,AT,Ath Paranaense,30,1992,25,14,1.396,15.5,0.45,0.13,0.58,0.45,0.00,0.00,0.19,0.00,0.39,0.39,0.10,0.45,0.97,2.32,3.87,045,013,058,045,058,039,010,049,039,049
517,Pablo,br BRA,ZG,Flamengo,31,1991,7,4,421,4.7,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.02,0.02,0.00,0.00,0.85,1.49,0.21,000,000,000,000,000,002,000,002,002,002
518,Bruno Pacheco,br BRA,ZG,Fortaleza,31,1991,31,30,2.669,29.7,0.07,0.10,0.17,0.07,0.00,0.00,0.17,0.00,0.03,0.03,0.06,0.07,1.65,4.48,3.30,007,010,017,007,017,003,007,010,003,010
519,Helibelton Palacios,co COL,ZG,Cruzeiro,29,1993,10,6,629,7.0,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.04,0.04,0.01,0.00,0.86,3.86,4.86,000,000,000,000,000,004,001,005,004,005
520,Julián Palacios,ar ARG,"AT,LT",Goiás,23,1999,27,19,1.632,18.1,0.06,0.06,0.11,0.06,0.00,0.00,0.39,0.00,0.08,0.08,0.16,0.22,2.71,5.41,6.41,006,006,011,006,011,008,016,024,008,024
521,Nino Paraíba,br BRA,ZG,América (MG),37,1986,4,2,197,2.2,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.05,0.05,0.23,0.00,1.82,8.64,8.64,000,000,000,000,000,003,022,024,003,024
522,Mateus Pasinato,br BRA,G,América (MG),30,1992,10,10,900,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,000,000,000,000,000,000,000,000,000
523,Weslley Patati,br BRA,"AT,LT",Santos,19,2003,9,0,136,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.53,0.07,0.00,6.00,5.33,13.3,000,000,000,000,000,054,008,062,054,062
524,Alexandre Pato,br BRA,"AT,LT",São Paulo,33,1989,9,1,161,1.8,1.11,0.00,1.11,1.11,0.00,0.56,0.00,0.00,0.72,0.17,0.17,0.00,1.11,5.00,5.56,112,000,112,112,112,071,018,089,019,037
525,Patrick,br BRA,"LT,AT",Atlético Mineiro,30,1992,23,2,559,6.2,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.15,0.15,0.24,0.32,3.23,3.55,8.71,000,000,000,000,000,015,024,039,015,039
526,Alan Patrick,br BRA,"LT,AT",Internacional,31,1991,34,28,2.452,27.2,0.15,0.18,0.33,0.11,0.04,0.04,0.22,0.00,0.16,0.13,0.19,0.29,2.28,5.85,4.78,015,018,033,011,029,016,019,035,013,032
527,Luan Patrick,br BRA,ZG,Red Bull Bragantino,21,2002,14,12,1.113,12.4,0.00,0.08,0.08,0.00,0.00,0.00,0.24,0.00,0.05,0.05,0.10,0.08,0.48,3.39,0.08,000,008,008,000,008,005,009,014,005,014
528,Patryck,br BRA,ZG,São Paulo,20,2003,6,4,375,4.2,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.02,0.02,0.00,0.00,0.95,0.95,3.81,000,000,000,000,000,002,001,003,002,003
529,Giuliano de Paula,br BRA,"LT,AT",Corinthians,32,1990,30,19,1.633,18.1,0.11,0.06,0.17,0.11,0.00,0.00,0.11,0.00,0.08,0.08,0.04,0.11,0.83,5.36,1.88,011,006,017,011,017,008,004,013,008,013
530,Jair Paula,br BRA,ZG,Santos,17,2005,2,0,32,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,2.50,7.50,0.00,000,000,000,000,000,000,018,018,000,018
531,Paulinho,br BRA,ZG,América (MG),18,2004,1,0,24,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,3.33,20.0,000,000,000,000,000,000,000,000,000,000
532,Paulinho,br BRA,"AT,LT",Atlético Mineiro,22,2000,36,35,2.991,33.2,0.60,0.06,0.66,0.60,0.00,0.00,0.09,0.00,0.45,0.45,0.08,0.51,2.86,2.32,7.05,060,006,066,060,066,045,007,052,045,052
533,Paulinho,br BRA,LT,Vasco da Gama,26,1997,20,19,1.634,18.2,0.05,0.11,0.16,0.05,0.00,0.00,0.38,0.05,0.03,0.03,0.09,0.11,2.58,6.81,3.02,006,011,017,006,017,003,009,012,003,012
534,Paulinho,br BRA,ZG,Vasco da Gama,17,2005,1,0,45,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,000,000,000,000,000,0,0,0,0,0
535,Paulinho,br BRA,"LT,AT",Corinthians,34,1988,4,1,148,1.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.19,0.00,1.88,3.13,3.13,000,000,000,000,000,013,020,033,013,033
536,Caio Paulista,br BRA,ZG,São Paulo,24,1998,28,23,2.078,23.1,0.04,0.09,0.13,0.04,0.00,0.00,0.17,0.00,0.09,0.09,0.08,0.13,4.85,5.24,7.19,004,009,013,004,013,009,008,017,009,017
537,Wellington Paulista,br BRA,AT,América (MG),38,1984,10,0,227,2.5,0.40,0.00,0.40,0.40,0.00,0.40,0.40,0.00,0.76,0.40,0.04,0.40,0.80,2.00,2.00,040,000,040,040,040,077,002,079,039,041
538,João Paulo,br BRA,G,Santos,27,1995,36,36,3.211,35.7,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,000,000,000,000,000,000,000,000,000,000
539,Marcos Paulo,br BRA,"AT,LT",São Paulo,21,2001,15,6,528,5.9,0.34,0.17,0.51,0.34,0.00,0.00,0.34,0.00,0.14,0.14,0.25,0.34,2.20,4.24,9.83,034,017,051,034,051,013,026,039,013,039
540,Cristian Pavón,ar ARG,"AT,LT",Atlético Mineiro,27,1996,33,21,1.934,21.5,0.14,0.37,0.51,0.09,0.05,0.05,0.33,0.00,0.19,0.15,0.18,0.33,3.95,2.88,10.2,014,037,051,009,047,019,018,037,015,034
541,Dimitri Payet,fr FRA,"LT,AT",Vasco da Gama,35,1987,17,7,800,8.9,0.22,0.11,0.34,0.22,0.00,0.00,0.00,0.00,0.08,0.08,0.27,0.34,3.03,4.72,6.40,023,011,034,023,034,007,027,034,007,034
542,Pedrinho,br BRA,"AT,LT",América (MG),23,1999,8,4,411,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.09,0.22,6.30,4.35,6.30,000,000,000,000,000,016,009,025,016,025
543,Pedrinho,br BRA,"ZG,LT",Ath Paranaense,20,2002,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.03,0.00,0.50,2.50,4.00,000,000,000,000,000,000,002,002,000,002
544,Pedrinho,br BRA,"LT,AT",Atlético Mineiro,24,1998,15,6,629,7.0,0.00,0.29,0.29,0.00,0.00,0.00,0.29,0.00,0.04,0.04,0.20,0.14,2.14,10.0,4.86,000,029,029,000,029,004,020,024,004,024
545,Pedrinho,br BRA,AT,Flamengo,19,2003,1,0,19,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,000,000,000,000,000,000,000,000,000,000
546,Pedro,br BRA,AT,Flamengo,25,1997,34,26,2.151,23.9,0.54,0.00,0.54,0.38,0.17,0.17,0.04,0.00,0.46,0.33,0.04,0.33,0.67,2.05,4.52,054,000,054,038,038,046,004,050,033,037
547,João Pedro,br BRA,AT,Cruzeiro,19,2003,1,0,13,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,000,000,000,000,000,000,000,000,000,000
548,João Pedro,it ITA,AT,Grêmio,30,1992,14,10,616,6.8,0.00,0.15,0.15,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.04,0.15,1.18,0.88,5.29,000,015,015,000,015,015,005,019,015,019
549,João Pedro,br BRA,ZG,Grêmio,26,1996,29,23,2.076,23.1,0.13,0.04,0.17,0.13,0.00,0.00,0.04,0.00,0.03,0.03,0.05,0.04,2.60,4.89,2.94,013,004,017,013,017,003,005,008,003,008
550,João Pedro Pepê,br BRA,LT,Grêmio,25,1998,18,16,1.398,15.5,0.06,0.06,0.13,0.06,0.00,0.00,0.06,0.00,0.07,0.07,0.04,0.06,1.29,5.61,2.52,006,006,013,006,013,007,004,010,007,010
551,Jean Pedroso,br BRA,ZG,Coritiba,19,2004,7,6,584,6.5,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.62,2.77,0.00,000,000,000,000,000,001,000,001,001,001
552,Matheus Peixoto,br BRA,AT,Goiás,27,1995,13,12,879,9.8,0.20,0.10,0.31,0.10,0.10,0.10,0.20,0.00,0.22,0.14,0.16,0.31,0.41,1.12,2.86,020,010,031,010,020,023,016,039,015,031
553,Léo Pelé,br BRA,ZG,Vasco da Gama,26,1996,34,30,2.719,30.2,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.01,0.01,0.01,0.00,1.82,4.27,0.30,000,000,000,000,000,001,001,002,001,002
554,Carlos de Pena,uy URU,"LT,AT",Internacional,30,1992,27,16,1.425,15.8,0.13,0.00,0.13,0.13,0.00,0.00,0.38,0.06,0.09,0.09,0.06,0.13,1.46,5.25,3.48,013,000,013,013,013,009,006,014,009,014
555,Léo Pereira,br BRA,ZG,Flamengo,27,1996,32,32,2.645,29.4,0.10,0.03,0.14,0.10,0.00,0.00,0.20,0.00,0.06,0.06,0.01,0.07,1.46,6.02,0.54,010,003,014,010,014,006,001,007,006,007
556,Matheus Pereira,pt POR,"AT,LT",Cruzeiro,26,1996,15,12,1.022,11.4,0.09,0.09,0.18,0.09,0.00,0.00,0.09,0.00,0.17,0.17,0.25,0.35,1.49,5.26,6.49,009,009,018,009,018,017,024,042,017,042
557,Bruno Peres,br BRA,"ZG,LT",Ath Paranaense,32,1990,5,1,157,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,1.76,1.76,000,000,000,000,000,001,014,016,001,016
558,Lucas Perri,br BRA,G,Botafogo (RJ),25,1997,38,38,3.375,37.5,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,000,000,000,000,000,000,000,000,000,000
559,Lucas Piazon,br BRA,AT,Botafogo (RJ),29,1994,1,0,20,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.0,000,000,000,000,000,000,000,000,000,000
560,Yago Pikachu,br BRA,"AT,LT",Fortaleza,30,1992,37,16,1.751,19.5,0.36,0.05,0.41,0.36,0.00,0.05,0.26,0.00,0.28,0.24,0.14,0.36,2.05,3.18,8.72,036,005,041,036,041,028,014,043,024,039
561,Rodrigo Pinho,br BRA,AT,Coritiba,31,1991,10,5,385,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.21,0.21,0.05,0.23,0.93,0.93,2.56,000,000,000,000,000,021,004,025,021,025
562,Joaquín Piquerez,uy URU,ZG,Palmeiras,24,1998,29,29,2.526,28.1,0.11,0.18,0.28,0.07,0.04,0.04,0.18,0.00,0.07,0.05,0.13,0.14,1.96,4.56,5.80,011,018,029,007,025,007,013,020,004,018
563,Gabriel Pirani,br BRA,"LT,AT",Fluminense,20,2002,9,6,396,4.4,0.23,0.00,0.23,0.23,0.00,0.00,0.23,0.00,0.36,0.36,0.00,0.23,2.95,1.36,5.68,023,000,023,023,023,037,000,037,037,037
564,Rafael Pires,br BRA,G,São Paulo,33,1989,33,33,2.970,33.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,000,000,000,000,000,000,000,000,000
565,Lucas Piton,br BRA,ZG,Vasco da Gama,22,2000,37,37,3.283,36.5,0.00,0.11,0.11,0.00,0.00,0.00,0.14,0.00,0.03,0.03,0.13,0.16,2.41,4.03,6.03,000,011,011,000,011,003,014,016,003,016
566,Isidro Pitta,py PAR,AT,Cuiabá,23,1999,29,7,823,9.1,0.55,0.11,0.66,0.44,0.11,0.11,0.00,0.00,0.38,0.30,0.04,0.33,2.53,2.31,8.46,055,011,066,044,055,038,004,042,030,034
567,Tomas Pochettino,ar ARG,"LT,AT",Fortaleza,26,1996,35,26,1.991,22.1,0.09,0.14,0.23,0.09,0.00,0.00,0.09,0.00,0.13,0.13,0.18,0.27,2.49,4.84,5.88,009,014,023,009,023,013,018,031,013,031
568,Luan Polli,br BRA,G,Coritiba,29,1993,5,4,385,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,000,000,000,000,000,001,001,000,001
569,Wesley Pombo,br BRA,LT,Coritiba,20,2002,1,0,50,0.6,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.17,0.00,3.33,0.00,8.33,000,000,000,000,000,000,011,011,000,011
570,Mateo Ponte,uy URU,ZG,Botafogo (RJ),19,2003,1,0,22,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,000,000,000,000,000,000,000,000,000,000
571,William Pottker,br BRA,"AT,LT",Coritiba,29,1993,4,1,116,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.15,0.15,0.08,0.00,3.08,1.54,6.15,000,000,000,000,000,012,005,017,012,017
572,Bruno Praxedes,br BRA,LT,Vasco da Gama,20,2002,21,18,1.340,14.9,0.07,0.13,0.20,0.07,0.00,0.00,0.13,0.00,0.12,0.12,0.07,0.13,2.62,5.17,2.42,007,013,020,007,020,012,006,018,012,018
573,Bruno Praxedes,br BRA,LT,Red Bull Bragantino,20,2002,1,0,8,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,000,000,000,000,000,000,000,000,000
574,Erick Pulgar,cl CHI,LT,Flamengo,29,1994,25,22,2.000,22.2,0.09,0.14,0.23,0.09,0.00,0.00,0.41,0.00,0.04,0.04,0.09,0.09,0.72,6.17,1.40,009,014,023,009,023,004,009,013,004,013
575,Nicolás Quagliata,uy URU,"AT,LT",Cuiabá,23,1999,9,0,233,2.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.15,0.00,5.00,2.69,10.8,000,000,000,000,000,009,016,026,009,026
576,Du Queiroz,br BRA,"LT,ZG",Corinthians,23,2000,3,2,176,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.50,3.50,2.00,000,000,000,000,000,000,001,001,000,001
577,Yani Quintero,co COL,LT,Red Bull Bragantino,20,2002,3,1,101,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.91,6.36,0.00,000,000,000,000,000,000,000,000,000,000
578,Igor Rabello,br BRA,ZG,Atlético Mineiro,27,1995,11,7,692,7.7,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.13,0.00,0.00,0.01,0.00,0.26,2.86,0.00,000,000,000,000,000,001,001,001,001,001
579,Rafael,br BRA,ZG,Botafogo (RJ),32,1990,9,8,482,5.4,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.19,0.00,0.00,0.04,0.00,2.22,1.85,0.74,000,000,000,000,000,001,005,005,001,005
580,Zé Rafael,br BRA,LT,Palmeiras,29,1993,31,31,2.565,28.5,0.11,0.11,0.21,0.11,0.00,0.00,0.35,0.00,0.07,0.07,0.07,0.14,1.47,4.98,1.37,011,011,021,011,021,007,007,014,007,014
581,Rafinha,br BRA,ZG,São Paulo,37,1985,25,23,2.027,22.5,0.00,0.04,0.04,0.00,0.00,0.00,0.49,0.04,0.00,0.00,0.06,0.04,1.78,8.31,2.04,000,004,004,000,004,000,006,007,000,007
582,Rai,br BRA,LT,Botafogo (RJ),20,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,1,000,000,000,000,000,000,000,000,000,000
583,Eric Ramires,br BRA,LT,Red Bull Bragantino,22,2000,23,17,1.376,15.3,0.20,0.20,0.39,0.20,0.00,0.00,0.07,0.07,0.16,0.16,0.10,0.26,1.44,5.23,3.27,020,020,039,020,039,016,011,027,016,027
584,Lucas Ramos,br BRA,AT,Internacional,22,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000
585,Raí Ramos,br BRA,ZG,São Paulo,28,1994,6,4,282,3.1,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.00,0.03,0.03,0.19,0.00,1.61,4.52,3.87,000,000,000,000,000,004,018,022,004,022
586,Marcelo Rangel,br BRA,G,Goiás,34,1988,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,000,000,000,000,000,000,000,000,000
587,Pedro Rangel,br BRA,G,Fluminense,22,2000,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,000,000,000,000,000,000,000,000,000
588,Raniele,br BRA,"LT,ZG",Cuiabá,26,1996,35,34,2.885,32.1,0.09,0.03,0.12,0.09,0.00,0.00,0.31,0.00,0.09,0.09,0.03,0.09,1.15,3.27,1.18,009,003,012,009,012,009,003,011,009,011
589,Rafael Ratão,br BRA,"AT,LT",Bahia,27,1995,18,8,779,8.7,0.46,0.11,0.57,0.46,0.00,0.00,0.23,0.00,0.33,0.33,0.10,0.34,1.49,4.37,7.01,046,012,058,046,058,033,011,043,033,043
590,Wellington Rato,br BRA,"AT,LT",São Paulo,30,1992,32,21,1.763,19.6,0.00,0.20,0.20,0.00,0.00,0.05,0.31,0.00,0.15,0.11,0.19,0.26,2.35,3.47,9.49,000,020,020,000,020,015,019,034,011,030
591,Raul,br BRA,"LT,ZG",Red Bull Bragantino,26,1996,3,1,107,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.83,5.00,0.83,000,000,000,000,000,002,002,004,002,004
592,Pedro Raul,br BRA,AT,Vasco da Gama,26,1996,12,9,835,9.3,0.22,0.00,0.22,0.22,0.00,0.00,0.32,0.00,0.28,0.28,0.10,0.32,0.54,1.29,4.30,022,000,022,022,022,028,010,038,028,038
593,Leonardo Realpe,ec ECU,ZG,Red Bull Bragantino,21,2001,21,19,1.680,18.7,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.05,0.03,0.03,0.01,0.00,0.80,4.12,0.16,000,000,000,000,000,003,001,004,003,004
594,Reinaldo,br BRA,AT,Ath Paranaense,21,2001,1,0,16,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,000,000,000,000,000,031,000,031,031,031
595,Reinaldo,br BRA,ZG,Grêmio,33,1989,30,30,2.681,29.8,0.07,0.17,0.23,0.03,0.03,0.03,0.37,0.07,0.09,0.06,0.17,0.23,1.38,5.40,4.80,007,017,023,003,020,009,017,027,006,024
596,Renê,br BRA,ZG,Internacional,30,1992,28,24,2.283,25.4,0.04,0.04,0.08,0.04,0.00,0.00,0.20,0.00,0.02,0.02,0.07,0.08,2.17,6.26,2.17,004,004,008,004,008,002,008,010,002,010
597,Réver,br BRA,"ZG,AT",Atlético Mineiro,38,1985,9,1,117,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,3.08,0.00,000,000,000,000,000,000,000,000,000,000
598,Rezende,br BRA,"LT,ZG",Bahia,28,1995,33,32,2.705,30.1,0.07,0.10,0.17,0.07,0.00,0.00,0.30,0.03,0.03,0.03,0.04,0.07,0.96,3.39,1.20,007,010,017,007,017,003,004,008,003,008
599,Everton Ribeiro,br BRA,"AT,LT",Flamengo,33,1989,30,15,1.475,16.4,0.18,0.24,0.43,0.18,0.00,0.00,0.18,0.00,0.09,0.09,0.23,0.30,2.20,8.72,5.91,018,024,043,018,043,009,023,032,009,032
600,Wesley Ribeiro,br BRA,"AT,LT",Corinthians,17,2005,24,7,861,9.6,0.10,0.10,0.21,0.10,0.00,0.00,0.21,0.00,0.05,0.05,0.13,0.10,6.25,2.60,10.1,010,010,021,010,021,005,013,018,005,018
