Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,GlsP90,AssisP90,G+AP90,G-PBP90,G+A-PBP90,xGP90,xAGP90,xG+xAGP90,npxGP90,npxG+xAGP90
413,Iago Maidana,br BRA,ZG,América (MG),26,1996,30,24,2.163,24.0,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.04,0.03,0.03,0.00,0.00,0.71,2.25,0.29,000,000,000,000,000,003,001,004,003,004
414,Hugo Mallo,es ESP,ZG,Internacional,31,1991,6,3,325,3.6,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.08,0.08,0.03,0.00,1.11,4.72,4.17,000,000,000,000,000,009,002,011,009,011
415,Léo Mana,br BRA,ZG,Corinthians,18,2004,3,2,134,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,2.00,4.67,6.67,000,000,000,000,000,000,000,000,000,000
416,Alef Manga,br BRA,"AT,LT",Coritiba,28,1994,10,9,804,8.9,0.45,0.34,0.79,0.34,0.11,0.11,0.34,0.00,0.43,0.34,0.11,0.45,2.81,1.91,8.43,045,034,078,034,067,042,011,054,033,045
417,Manoel,br BRA,ZG,Fluminense,32,1990,6,2,289,3.2,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,1.88,0.00,000,000,000,000,000,000,000,000,000,000
418,Fernando Marçal,br BRA,ZG,Botafogo (RJ),33,1989,22,20,1.626,18.1,0.00,0.17,0.17,0.00,0.00,0.00,0.44,0.06,0.01,0.01,0.07,0.06,0.94,4.59,3.54,000,017,017,000,017,001,007,008,001,008
419,Marcelo,br BRA,ZG,Fluminense,34,1988,19,18,1.325,14.7,0.07,0.07,0.14,0.07,0.00,0.00,0.27,0.00,0.10,0.10,0.25,0.34,2.99,10.3,3.40,007,007,014,007,014,009,025,035,009,035
420,Marcelo,br BRA,ZG,Fortaleza,27,1996,12,12,1.080,12.0,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.01,0.01,0.02,0.00,0.17,1.58,0.17,000,000,000,000,000,001,002,003,001,003
421,João Marcelo,br BRA,ZG,Cruzeiro,22,2000,5,1,165,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,8.89,0.00,000,000,000,000,000,000,000,000,000,000
422,Marcinho,br BRA,ZG,América (MG),26,1996,12,10,800,8.9,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.02,0.02,0.10,0.11,1.35,4.49,2.58,000,000,000,000,000,003,010,013,003,013
423,Erick Marcus,br BRA,"LT,AT",Vasco da Gama,18,2004,14,3,400,4.4,0.23,0.23,0.45,0.23,0.00,0.00,0.68,0.23,0.14,0.14,0.14,0.23,2.73,3.64,12.5,023,023,045,023,045,014,013,027,014,027
424,Mariano,br BRA,ZG,Atlético Mineiro,36,1986,22,17,1.564,17.4,0.00,0.06,0.06,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.02,0.00,0.92,5.06,1.55,000,006,006,000,006,000,003,003,000,003
425,Marinho,br BRA,"AT,ZG",Flamengo,32,1990,4,0,82,0.9,0.00,0.00,0.00,0.00,0.00,0.00,1.11,0.00,0.33,0.33,0.11,0.00,2.22,1.11,23.3,000,000,000,000,000,037,013,050,037,050
426,Marinho,br BRA,"AT,LT",Fortaleza,32,1990,21,15,1.145,12.7,0.16,0.08,0.24,0.16,0.00,0.08,0.39,0.00,0.26,0.20,0.14,0.31,3.31,2.83,7.01,016,008,024,016,024,026,014,040,020,034
427,Marlon,br BRA,ZG,Cruzeiro,25,1997,36,36,3.198,35.5,0.08,0.06,0.14,0.08,0.00,0.00,0.20,0.00,0.04,0.03,0.11,0.14,1.55,4.79,4.96,008,006,014,008,014,004,011,015,003,014
428,Marlon,br BRA,ZG,América (MG),28,1994,26,18,1.674,18.6,0.05,0.05,0.11,0.05,0.00,0.00,0.16,0.00,0.03,0.03,0.04,0.05,3.39,3.82,4.30,005,005,011,005,011,003,004,007,003,007
429,Marlon,br BRA,ZG,Fluminense,27,1995,15,13,935,10.4,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.01,0.01,0.04,0.00,1.25,4.52,0.48,000,000,000,000,000,001,004,005,001,005
430,Igor Marques,br BRA,ZG,Cruzeiro,24,1999,4,1,119,1.3,0.00,0.77,0.77,0.00,0.00,0.00,0.77,0.00,0.00,0.00,0.31,0.00,6.15,7.69,7.69,000,076,076,000,076,000,030,030,000,030
431,Renato Marques,br BRA,"AT,LT",América (MG),19,2003,12,4,515,5.7,0.53,0.18,0.70,0.53,0.00,0.00,0.35,0.00,0.23,0.23,0.11,0.18,1.93,1.58,3.68,052,017,070,052,070,022,011,033,022,033
432,Juan Martín Lucero,ar ARG,AT,Fortaleza,31,1991,31,23,2.069,23.0,0.39,0.00,0.39,0.26,0.13,0.13,0.09,0.00,0.40,0.30,0.05,0.35,0.87,1.48,4.35,039,000,039,026,026,040,005,045,030,035
433,Martinelli,br BRA,"LT,ZG",Fluminense,21,2001,28,19,1.882,20.9,0.10,0.10,0.19,0.10,0.00,0.00,0.24,0.05,0.06,0.06,0.07,0.10,1.82,5.02,1.34,010,010,019,010,019,006,007,013,006,013
