Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Olympique Lyonnais,1,1,0,0,4,1,3,3,1
Paris Saint-Germain,1,1,0,0,3,0,3,3,2
Olympique Marseille,1,1,0,0,1,2,-1,3,3
Monaco,1,0,1,0,3,1,2,1,4
Rennes,1,0,1,0,2,0,2,1,5
Stade de Reims,1,0,1,0,2,0,2,1,6
Lens,1,0,1,0,1,1,0,1,7
Clermont,1,0,1,0,0,0,0,1,8
Lorient,1,0,1,0,0,0,0,1,9
Lille,1,0,1,0,0,1,-1,1,10
Nantes,1,0,1,0,0,1,-1,1,11
Nice,1,0,1,0,0,1,-1,1,12
Troyes,1,0,0,1,2,0,2,0,13
Angers SCO,1,0,0,1,0,0,0,0,14
Montpellier,1,0,0,1,1,2,-1,0,15
Auxerre,1,0,0,1,1,2,-1,0,16
Brest,1,0,0,1,0,1,-1,0,17
Toulouse,1,0,0,1,0,2,-2,0,18
RC Strasbourg,1,0,0,1,1,4,-3,0,19
AC Ajaccio,1,0,0,1,0,4,-4,0,20
Paris Saint-Germain,2,2,0,0,7,1,6,6,1
Olympique Marseille,2,2,0,0,3,3,0,6,2
Monaco,2,1,1,0,6,1,5,4,3
Rennes,2,1,1,0,5,2,3,4,4
Olympique Lyonnais,2,1,1,0,4,1,3,4,5
Lens,2,1,1,0,3,2,1,4,6
Nice,2,1,1,0,1,1,0,4,7
Lille,2,1,1,0,3,4,-1,4,8
Stade de Reims,2,0,2,0,4,2,2,2,9
Clermont,2,0,2,0,2,1,1,2,10
Nantes,2,0,2,0,1,1,0,2,11
Lorient,2,0,2,0,0,1,-1,2,12
Brest,2,0,1,1,3,3,0,1,13
Troyes,2,0,1,1,3,4,-1,1,14
Toulouse,2,0,1,1,1,2,-1,1,15
Montpellier,2,0,1,1,2,5,-3,1,16
Angers SCO,2,0,0,2,0,1,-1,0,17
Auxerre,2,0,0,2,1,5,-4,0,18
AC Ajaccio,2,0,0,2,1,6,-5,0,19
